,location,tweet,covid
0,"Lincoln, Nebraska",The corona is separated from the photosphere by the relatively shallow chromosphere.,1
1,"Lincoln, Nebraska",The corona is ^-12 times as dense as the photosphere; produces about one-millionth as much visible light.,1
2,"Lincoln, Nebraska",The photosphere's average temperature is kelvin compared to the corona's one to three million kelvin.,1
3,"Lincoln, NE",In related news CP cancels quarterfinal game due to Corona outbreak. Hello?,1
4,"Lincoln, Nebraska",The sun's corona is much hotter (by a factor of nearly ) than the visible surface of the Sun.,1
5,"Lincoln, Nebraska",Light frm corona comes frm primary sources; ) E-corona: spectral emission lines by ions in coronal plasma;,1
6,"Lincoln, Nebraska",Light from corona comes from primary sources; ) The F-corona: sunlight bouncing off dust particles;,1
7,"Lincoln, Nebraska",Light from corona comes from primary sources; ) The K-corona: sunlight scattering off free electrons;,1
8,"Lincoln, Nebraska","Light from the corona comes from three primary sources, which are called by different names.",1
9,"Lincoln, Nebraska",The fact that Sun has a million degree corona was first discovered by Gotrian in + Bengt Edlen in .,1
10,"Lincoln, Nebraska","Corona has a plasma temperature in excess of ^6 (1,000,000) degrees kelvin.",1
11,"Lincoln, Nebraska",The Latin root of the word corona means 'crown'; spectral features are highly ionized iron (Fe-XIV).,1
12,"Lincoln, Nebraska","The corona is most easily seen during a total solar eclipse, but also observable in a coronagraph.",1
13,"Lincoln, Nebraska","The corona is a type of plasma ""atmosphere"" of the Sun - extending millions of kilometers into space.",1
14,Lincoln,"The schools and universities shut be shut down immediately, since they have reopened, there seem to have",1
15,"Lincoln, NE",my corona-beard was better,1
16,"Lincoln, NE",You are absolutely disgusting. I want to puke. And I've only watched you for five minutes. Your New,1
17,"Lincoln, NE",Social distancing seems to be real into play with all this corona!,1
18,"Lincoln, NE",Im sure it will be this highly divisive Corona breeding ground that is worse. At lea,1
19,"Lincoln, Nebraska",Don Bacon will be joining his hero Trump at this super spreader event. Trump &amp; Bacon will be responsible for the i,1
20,"Land of Lincoln, USA","Dont fear corona,FEAR GOD.",1
21,"Lincoln, NE",Corona : the thing that got this guy arrested.,1
22,"Lincoln, NE","Well, I do. I also remember the leader of the church saying that corona V was a plot to end his churc",1
23,"Lincoln, NE",OMG! More innocent victims of Corona because POS POTUS wont inforce masks! Cant v,1
24,"Lincoln, Nebraska",Corona for Trump rally.,1
25,"Lincoln, Nebraska","Five of Mike Pence's top aides have now tested positive for the corona virus. As we all know, Pence is the chair o",1
26,"Lincoln, NE",All these Halloween decorations Ive put up and no one gets to see them I hate corona,1
27,"Lincoln, NE",The fact that the Los Angeles paper printed about the corona virus the day Kobe died but the p,1
28,Land of Lincoln ,WILL be tried to the fullest extent of the Law! : Trump ca,1
29,"Lincoln, NE",The CDC's Halloween Guidelines for | Martha Stewart,1
30,"Lincoln, NE",They have cases. Big difference.,1
31,"Lincoln, NE",For once will likely be correct... after the election the infection rate will go down; because,1
32,Land of Lincoln,"In the time that it takes you to read this tweet, of your fellow citizens will have contracted the",1
33,Lincoln,Vast majority of positives in Lincoln are among young people.,1
34,Land of Lincoln,The entire world and their communities are struggling to deal with and it's Trump's fault according to sleepy Joe.,1
35,"Lincoln, Nebraska",LPS Families: please check your email or our website for the Weekly LPS Family Update:,1
36,"Lincoln, NE",There are literally s of millions of Americans who believe we can STOP the spread of coronavirus.They point to,1
37,"Lincoln, NE","Latest on the coronavirusays before the Nov. election, U.S. virus cases surged past million, but officials i",1
38,"Lincoln, NE","Nebraska, Texas National Guard medical personnel heading to Czech Republic to help with virus surge ?",1
39,"Lincoln, NE",I was happy to be a guest on the radio show today to speak honestly about what it's like to teach,1
40,"Lincoln, NE","Nebraska saw a record number of cases of the coronavirus confirmed for one day, as well as a record number of peopl",1
41,"Lincoln, NE","Coronavirus, and What Next? Big Corporations, Get Out of China! - Sign the Petition! via",1
42,"Lincoln, NE",Coronavirus update: U.S. counts more than cases in a single day and The Lancet says Trump pandemic response,1
43,"Lincoln, Nebraska",(1/2) Materiel-Purchasing team and continue to distribute vital PPE across the State to en,1
44,"Lincoln, NE",Concerns about new cases of the coronavirus and uncertainty about how the election are the two items that are gener,1
45,"Lincoln, NE",Mayors News Conference: Coronavirus Update at :30pm todayWatch it live on LNKTV City,1
46,"Lincoln, NE","Nebraska saw a record number of cases of the coronavirus confirmed for one day, as well as a record number of peopl",1
47,"Lincoln, NE",The memory of working out in the yard on Saturday March while listening to this podcast episode and being scared,1
48,"Lincoln, NE","ICYMI: We broke down all the ways you can stay safe during , including precautionary measures you can take",1
49,"Lincoln, NE","Scathing. OuchNebraska Keeps Defying the Big Ten, Responding to Adversity With Petulance",1
50,"Lincoln, NE",Coronavirus updates: states report rise in hospitalizations; Utah hospitals 'can't keep up'; scaled-back Thanksg,1
51,"Lincoln, NE",His opponent voted NO to Legislature discussing help for residents during crisis. Vote Brodey Webe,1
52,Land of Lincoln ,"Soaring trade deficits, rising prices, job losses, falling markets, coronavirus infection rates &amp; hospital",1
53,"Lincoln, NE","Thousands of nursing homes still don't have enough gloves, N95 masks, gowns and other personal protective equipment",1
54,Lincoln,This is a really interesting graphical read,1
55,"Lincoln, NE",Covid Chasers: The Nurses Fighting Coronavirus From Hot Spot to Hot Spot,1
56,"Lincoln, Nebraska",Coronavirus testing czar: Nobodys waving the white flag to pandemic via,1
57,"Lincoln, NE","So, I got COVID.How did I get it? What were my symptoms? Can I smell or taste anything anymore?Check out this v",1
58,"Lincoln, NE",More than new coronavirus cases today; U.S. total tops million; an American gets the virus every secon,1
59,"Lincoln, NE",His opponent voted NO to Legislature discussing help for residents during crisis. Vote Brodey Webe,1
60,"Lincoln, NE","The new cases raised the pandemic total to , while the death toll remained at .",1
61,"Lincoln, NE",This project along with this article () estimating coronavirus spread depending on a number,1
62,"Lincoln, NE","President Donald Trump's son-in-law and senior adviser, Jared Kushner, boasted in mid-April about how the president",1
63,Lincoln,Ahead of and when considering the impact of its really important to use common sense and s,1
64,"Lincoln, NE",I was super bummed to learn from an update with and election commissioner David Shively today that,1
65,"Lincoln, Nebraska",Coronavirus updates: Wisconsin may run out of ICU beds in weeks; Boston Marathon postponed; CVS adds rapid testin,1
66,"Lincoln, NE",Public relations firms hired by DHHS vetted political views of hundreds of celebrities for a planned $250 million a,1
67,"Lincoln, NE",UT-Chattanooga currently has total students and total staff with positive cases. According to this morning's n,1
68,"Lincoln, NE","Still, the % increase doesn't offset the prior quarter's decline. Experts have said a full recovery may take year",1
69,"Lincoln, NE",Get out those pencils (or computers)! Students can share how they navigated life during the coronavirus pandemic in,1
70,"Lincoln, NE",Iowa voters won't be able to cast their ballot at any of those polling places this Election Day because of hundreds,1
71,"Lincoln, NE",The CDC announced new COVID-19 definitions for what constitutes Close Contact. NPR has the scoop,1
72,"Lincoln, Nebraska","These are the best graphics Ive seen on aerosol transmission of Covid-19: A room, a bar and a classroom: how the c",1
73,"Lincoln, NE",The coronavirus pandemic has devastated the US jobs market. Some people filed for benefits last week rou,1
74,"Lincoln, NE","""I love Halloween,"" said Prashant Patel, who owns the Wash Doctor Carwash, in Birmingham, Ala., as as hundreds of c",1
75,"Land of Lincoln, USA","All the news is about coronavirus infections, but where are all the deaths and they are also starting to",1
76,"Lincoln, NE","To date, Lancaster County residents have died from the coronavirus.",1
77,"Lincoln, Nebraska",BOSTON MARATHON POSTPONEDOnce again the world's oldest annual marathon will be changing up the race due to coronav,1
78,"Lincoln, NE",She is a comedian but as a Nebraskan this is the arguments they spew daily on coronavirus updates from local media.,1
79,"Lincoln, Nebraska",a new way to provide coronavirus testing this winter.,1
80,"Lincoln, NE",LOL. Go Big Red Coronavirus.,1
81,"Lincoln, NE","As employers continue to navigate the COVID-19 pandemic, OSHA has released new guidelines to clarify reporting requ",1
82,"Lincoln, NE",Bolz tests positive for coronavirus after quarantining,1
83,"Lincoln, NE",Congressional candidate Kate Bolz said she's grateful for the care she has received and will continue to quarantine,1
