location,tweet
"Lincoln, Nebraska",The corona is separated from the photosphere by the relatively shallow chromosphere. https://t.co/ffIA7KYHiM #spacewx #hamr #swl
"Lincoln, Nebraska",The corona is 10^-12 times as dense as the photosphere; produces about one-millionth as much visible light.… https://t.co/A0ozu0ILsI
"Lincoln, Nebraska",The photosphere's average temperature is 5800 kelvin compared to the corona's one to three million kelvin.… https://t.co/p5YRv0iflU
"Lincoln, NE",@OmahaHSFootball In related news CP cancels quarterfinal game due to Corona outbreak.  Hello?
"Lincoln, Nebraska",The sun's corona is much hotter (by a factor of nearly 200) than the visible surface of the Sun. https://t.co/ffIA7KYHiM #spacewx #hamr #swl
"Lincoln, Nebraska",Light frm corona comes frm 3 primary sources; 2) E-corona: spectral emission lines by ions in coronal plasma;… https://t.co/llSAuR7vBF
"Lincoln, Nebraska",Light from corona comes from 3 primary sources; 2) The F-corona: sunlight bouncing off dust particles;… https://t.co/6XAAD2DZvD
"Lincoln, Nebraska",Light from corona comes from 3 primary sources; 1) The K-corona: sunlight scattering off free electrons;… https://t.co/WyZQWyqIml
"Lincoln, Nebraska","Light from the corona comes from three primary sources, which are called by different names. https://t.co/ffIA7KYHiM #spacewx #hamr #swl"
"Lincoln, Nebraska",The fact that Sun has a million degree corona was first discovered by Gotrian in 1939 + Bengt Edlen in 1941.… https://t.co/6xxWzVDWPK
"Lincoln, Nebraska","Corona has a plasma temperature in excess of 10^6 (1,000,000) degrees kelvin. https://t.co/ffIA7KYHiM #spacewx #hamr #swl"
"Lincoln, Nebraska",The Latin root of the word corona means 'crown'; spectral features are highly ionized iron (Fe-XIV).… https://t.co/vmE8zPhdCv
"Lincoln, Nebraska","The corona is most easily seen during a total solar eclipse, but also observable in a coronagraph.… https://t.co/L9oQFJq3Pe"
"Lincoln, Nebraska","The corona is a type of plasma ""atmosphere"" of the Sun - extending millions of kilometers into space.… https://t.co/hDrhcb9pCz"
Lincoln,"@LincsLive The schools and universities shut be shut down immediately, since they have reopened, there seem to have… https://t.co/Lw4jOgnHWy"
"Lincoln, NE",my corona-beard was better
"Lincoln, NE",@IngrahamAngle You are absolutely disgusting. I want to puke. And I've only watched you for five minutes. Your New… https://t.co/C8ENSEcYRP
"Lincoln, NE",Social distancing seems to be real into play with all this corona! https://t.co/vVYMMDCWCL
"Lincoln, NE",@94McDougall @ChrisDunkerLJS I’m sure it will be this highly divisive Corona breeding ground that is worse.  At lea… https://t.co/HuNklaJXeW
"Lincoln, Nebraska",Don Bacon will be joining his hero Trump at this super spreader event.  Trump &amp; Bacon will be responsible for the i… https://t.co/4jLZGCV1Uz
"Land of Lincoln, USA","Don’t fear corona,
FEAR GOD."
"Lincoln, NE",@wayawaysaway Corona : the thing that got this guy arrested.
"Lincoln, NE","@wayawaysaway Well, I do. I also remember the leader of the church saying that corona V was a plot to end his churc… https://t.co/5rWo6CqPsE"
"Lincoln, NE",@kayleighmcenany @realDonaldTrump OMG! More innocent victims of Corona because POS POTUS wont inforce masks! Cant v… https://t.co/bC9M63KJL7
"Lincoln, Nebraska",@kohenari Corona for Trump rally.
